profile,group,get_redirect_from,TypeParent,ProfileParent,cross_walk_url
PublicationVolume,publications,"- ""/devSpecs/PublicationVolume/specification/""
- ""/devSpecs/PublicationVolume/specification""
- ""/devSpecs/PublicationVolume/""
- ""/devSpecs/PublicationVolume""
- ""/specifications/drafts/PublicationVolume/""
- ""/specifications/drafts/PublicationVolume""
- ""/specifications/PublicationVolume/""
- ""/specifications/PublicationVolume""
- ""/profiles/PublicationVolume/""
- ""/profiles/PublicationVolume""",,schema:PublicationVolume,https://docs.google.com/spreadsheets/d/1URvG6DVYNLwJvURHEUx7huEGxdVtURKCQ4KtQvvgwXw
RNA,DNA,"- ""/devSpecs/RNA/specification/""
- ""/devSpecs/RNA/specification""
- ""/devSpecs/RNA/""
- ""/devSpecs/RNA""
- ""/specifications/drafts/RNA/""
- ""/specifications/drafts/RNA""
- ""/specifications/RNA/""
- ""/specifications/RNA""
- ""/profiles/RNA/""
- ""/profiles/RNA""",schema:BioChemEntity,bioschemastypes:RNA,https://docs.google.com/spreadsheets/d/1N2_6iLktDXlcgkuXJdpW4UKg9M9Q08VfMqtDDS5tEp4/edit#gid=292464567
Sample,samples,"- ""/devSpecs/Sample/specification/""
- ""/devSpecs/Sample/specification""
- ""/devSpecs/Sample/""
- ""/devSpecs/Sample""
- ""/specifications/drafts/Sample/""
- ""/specifications/drafts/Sample""
- ""/specifications/Sample/""
- ""/specifications/Sample""
- ""/profiles/Sample/""
- ""/profiles/Sample""",schema:Sample,bioschemastypes:Sample,https://docs.google.com/spreadsheets/d/122y9X5ZxFN5sPDX63ox8UGQlHkddT6O69_e2b_eAv5Y/edit#gid=1483018794
ScholarlyArticle,publications,"- ""/devSpecs/ScholarlyArticle/specification/""
- ""/devSpecs/ScholarlyArticle/specification""
- ""/devSpecs/ScholarlyArticle/""
- ""/devSpecs/ScholarlyArticle""
- ""/specifications/drafts/ScholarlyArticle/""
- ""/specifications/drafts/ScholarlyArticle""
- ""/specifications/ScholarlyArticle/""
- ""/specifications/ScholarlyArticle""
- ""/profiles/ScholarlyArticle/""
- ""/profiles/ScholarlyArticle""",,schema:ScholarlyArticle,https://docs.google.com/spreadsheets/d/1-AtKXJ1FW57T2tDEKF0hlxraPVbLqnREr-kRpQK0vhQ/
SemanticTextAnnotation,publications,"- ""/devSpecs/SemanticTextAnnotation/specification/""
- ""/devSpecs/SemanticTextAnnotation/specification""
- ""/devSpecs/SemanticTextAnnotation/""
- ""/devSpecs/SemanticTextAnnotation""
- ""/specifications/drafts/SemanticTextAnnotation/""
- ""/specifications/drafts/SemanticTextAnnotation""
- ""/specifications/SemanticTextAnnotation/""
- ""/specifications/SemanticTextAnnotation""
- ""/profiles/SemanticTextAnnotation/""
- ""/profiles/SemanticTextAnnotation""",,schema:CreativeWork,https://docs.google.com/spreadsheets/d/1FSz3Wn3pgUQl-fFx-mpz_qiuhxPJGMYGXRAEaZ9aPrU/
SequenceAnnotation,proteins,"- ""/devSpecs/SequenceAnnotation/specification/""
- ""/devSpecs/SequenceAnnotation/specification""
- ""/devSpecs/SequenceAnnotation/""
- ""/devSpecs/SequenceAnnotation""
- ""/specifications/drafts/SequenceAnnotation/""
- ""/specifications/drafts/SequenceAnnotation""
- ""/specifications/SequenceAnnotation/""
- ""/specifications/SequenceAnnotation""
- ""/profiles/SequenceAnnotation/""
- ""/profiles/SequenceAnnotation""",schema:BioChemEntity,bioschemastypes:SequenceAnnotation,https://docs.google.com/spreadsheets/d/18TQcNrJh3-qSyML_NM68_BRmS15AHgmqK1_OrM29lSc/
SequenceMatchingModel,,,schema:CreativeWork,,
SequenceRange,proteins,"- ""/devSpecs/SequenceRange/specification/""
- ""/devSpecs/SequenceRange/specification""
- ""/devSpecs/SequenceRange/""
- ""/devSpecs/SequenceRange""
- ""/specifications/drafts/SequenceRange/""
- ""/specifications/drafts/SequenceRange""
- ""/specifications/SequenceRange/""
- ""/specifications/SequenceRange""
- ""/profiles/SequenceRange/""
- ""/profiles/SequenceRange""",schema:BioChemEntity,bioschemastypes:SequenceStructure,https://docs.google.com/spreadsheets/d/1G7YcTaM5jjpF0SGoPkrPmirflfb9DAyFPfiW1iN0FcU/
Study,studies,"- ""/devSpecs/Study/specification/""
- ""/devSpecs/Study/specification""
- ""/devSpecs/Study/""
- ""/devSpecs/Study""
- ""/specifications/drafts/Study/""
- ""/specifications/drafts/Study""
- ""/specifications/Study/""
- ""/specifications/Study""
- ""/profiles/Study/""
- ""/profiles/Study""",schema:CreativeWork,bioschemastypes:Study,https://docs.google.com/spreadsheets/d/1320sC6scXagwB5kJyGObuW5YkWGrZ1JNIYk-rmC3pyE/
Taxon,biodiversity,"- ""/specifications/Taxon/""
- ""/specifications/Taxon""
- ""/profiles/Taxon/""
- ""/profiles/Taxon""",schema:Thing,schema:Taxon,https://docs.google.com/spreadsheets/d/18aNmjLlMs7FItcozTZXdktKuZEap2sbqgqgksWQSkD0/edit#gid=1483018794
TaxonName,biodiversity,"- ""/devSpecs/TaxonName/specification/""
- ""/devSpecs/TaxonName/specification""
- ""/devSpecs/TaxonName/""
- ""/devSpecs/TaxonName""
- ""/specifications/drafts/TaxonName/""
- ""/specifications/drafts/TaxonName""
- ""/specifications/TaxonName/""
- ""/specifications/TaxonName""
- ""/profiles/TaxonName/""
- ""/profiles/TaxonName""",schema:CreativeWork,bioschemastypes:TaxonName,https://docs.google.com/spreadsheets/d/1cQPR7KGU0fOHXiRoaJpahEgrX9i6SIc36X8cupfg6_4/
Tool,tools,"- ""/profiles/ComputationalTool/0.4-DRAFT-2019_07_19/""
- ""/profiles/Tool/0.4-DRAFT-2019_07_19/""",,,https://docs.google.com/spreadsheets/d/1kogQ4tLMbhnM-B8IKtFNmMenRgqopi76wGKCCyAqUXM
TrainingMaterial,training,"- ""/devSpecs/TrainingMaterial/specification/""
- ""/devSpecs/TrainingMaterial/specification""
- ""/devSpecs/TrainingMaterial/""
- ""/devSpecs/TrainingMaterial""
- ""/specifications/drafts/TrainingMaterial/""
- ""/specifications/drafts/TrainingMaterial""
- ""/specifications/TrainingMaterial/""
- ""/specifications/TrainingMaterial""
- ""/profiles/TrainingMaterial/""
- ""/profiles/TrainingMaterial""",,schema:LearningResource,https://docs.google.com/spreadsheets/d/1w6_iqgcBgbqqZVmhpf9L21eoVlq64U7RPf1xGKhiRpk/edit#gid=1483018794
